Algorithm,Seeds,Revisit Reward,Retention,Forgetting
PPO,10,119.88 +/- 72.77,0.636 +/- 0.407,162.69 +/- 256.52
P3O,10,110.14 +/- 84.16,0.429 +/- 0.394,231.89 +/- 216.30
ClosedLoopFull,20,78.51 +/- 47.74,0.466 +/- 0.317,147.81 +/- 177.38
ClosedLoopMemory,20,162.80 +/- 175.61,0.758 +/- 0.600,116.47 +/- 186.93
p-value (Memory vs Full),,p=0.0066,p=0.0471,p=0.1811
