step,tag
0,phase_start,1,Hopper-v4,80000
2960,reward,1,Hopper-v4,12.40947081277421,25.928
2986,reward,1,Hopper-v4,17.89794683469186,20.13
3048,reward,1,Hopper-v4,118.34756895708014,29.844
3089,reward,1,Hopper-v4,42.554330014626736,32.61
3099,reward,1,Hopper-v4,8.657419171889156,32.041
3116,reward,1,Hopper-v4,14.08556956691875,32.672
3132,reward,1,Hopper-v4,15.177295043665008,33.598
3154,reward,1,Hopper-v4,20.424773426940288,33.355
3201,reward,1,Hopper-v4,72.2550370652119,39.642
3222,reward,1,Hopper-v4,20.451541934570297,34.226
3239,reward,1,Hopper-v4,11.501136790582265,34.135
3260,reward,1,Hopper-v4,9.973976943645397,33.343
3275,reward,1,Hopper-v4,11.579836928030138,22.666
3300,reward,1,Hopper-v4,26.5676110657832,21.067
3309,reward,1,Hopper-v4,6.1153974517792875,20.813
3322,reward,1,Hopper-v4,12.071078647487251,20.612
3341,reward,1,Hopper-v4,15.115721748910298,20.606
3396,reward,1,Hopper-v4,95.94530415108589,28.158
3410,reward,1,Hopper-v4,9.275775374986559,21.86
3420,reward,1,Hopper-v4,9.224651784898883,20.737
3443,reward,1,Hopper-v4,15.849911616948123,21.172
3460,reward,1,Hopper-v4,9.09050189631983,21.084
3468,reward,1,Hopper-v4,5.228799714664532,20.448
3496,reward,1,Hopper-v4,6.969730331701969,18.489
3510,reward,1,Hopper-v4,9.124516654492398,18.79
3523,reward,1,Hopper-v4,10.440685356405561,18.627
3544,reward,1,Hopper-v4,20.892192246215732,19.204
3572,reward,1,Hopper-v4,29.52414601344964,12.562
3632,reward,1,Hopper-v4,96.68002861404695,21.303
3663,reward,1,Hopper-v4,30.593516608942323,23.439
3699,reward,1,Hopper-v4,25.360597948073437,24.39
3712,reward,1,Hopper-v4,8.386833425721964,24.32
3729,reward,1,Hopper-v4,11.692424703472653,24.966
3799,reward,1,Hopper-v4,99.7497016500836,34.244
3809,reward,1,Hopper-v4,8.128206320973097,34.145
3822,reward,1,Hopper-v4,10.689070281402417,34.17
3852,reward,1,Hopper-v4,34.763973599482185,35.557
3865,reward,1,Hopper-v4,9.729408549106676,33.577
3883,reward,1,Hopper-v4,20.22083680264262,25.931
3899,reward,1,Hopper-v4,12.161294005358252,24.088
3927,reward,1,Hopper-v4,33.75175008216759,24.927
3935,reward,1,Hopper-v4,6.497993580717522,24.738
3968,reward,1,Hopper-v4,26.29184497434507,26.198
3995,reward,1,Hopper-v4,25.362842312844567,18.76
4020,reward,1,Hopper-v4,12.81055621697955,19.228
4030,reward,1,Hopper-v4,4.574183060684305,18.616
4047,reward,1,Hopper-v4,14.924411104335801,16.633
4096,loss,1,Hopper-v4,-0.03288926184177399,0.24744607508182526,1.113399863243103,4.256324291229248,0.021627571433782578
4103,reward,1,Hopper-v4,90.8970502385758,24.749
4171,reward,1,Hopper-v4,104.41710005618087,33.169
4191,reward,1,Hopper-v4,26.263246764259158,34.579
4236,reward,1,Hopper-v4,54.32509797594604,36.636
4252,reward,1,Hopper-v4,10.9025216591775,37.077
4312,reward,1,Hopper-v4,64.89341581097874,40.937
4336,reward,1,Hopper-v4,23.765060417276434,40.777
