step,tag
0,phase_start,1,Walker2d-v4,80000
25,reward,1,Walker2d-v4,-4.302437592123684,-4.302
36,reward,1,Walker2d-v4,-1.2683597019121817,-2.785
53,reward,1,Walker2d-v4,2.763679469577931,-0.936
74,reward,1,Walker2d-v4,-3.835785619945611,-1.661
114,reward,1,Walker2d-v4,23.517356562458307,3.375
135,reward,1,Walker2d-v4,11.573723585758549,4.741
146,reward,1,Walker2d-v4,-0.07512147669152303,4.053
170,reward,1,Walker2d-v4,4.616554565138048,4.124
210,reward,1,Walker2d-v4,21.35662063108583,6.038
225,reward,1,Walker2d-v4,4.197726381230371,5.854
235,reward,1,Walker2d-v4,-1.7596196243752638,6.109
258,reward,1,Walker2d-v4,-0.8345996619711576,6.152
279,reward,1,Walker2d-v4,8.364845859807136,6.712
299,reward,1,Walker2d-v4,-0.039530730878142295,7.092
310,reward,1,Walker2d-v4,-1.9080256973421827,4.549
321,reward,1,Walker2d-v4,0.20932961311140796,3.413
345,reward,1,Walker2d-v4,7.170598600144062,4.137
374,reward,1,Walker2d-v4,-2.2379745821537202,3.452
397,reward,1,Walker2d-v4,6.920631282800132,2.008
412,reward,1,Walker2d-v4,-0.7525105190371049,1.513
426,reward,1,Walker2d-v4,-0.5723986061156727,1.632
448,reward,1,Walker2d-v4,-3.6722074594761733,1.348
470,reward,1,Walker2d-v4,1.9810194830120147,0.71
485,reward,1,Walker2d-v4,3.2485881039947206,1.039
496,reward,1,Walker2d-v4,-0.9514694780095933,1.134
528,reward,1,Walker2d-v4,9.214836240471383,2.035
546,reward,1,Walker2d-v4,-11.821571539369023,0.136
571,reward,1,Walker2d-v4,8.733687108735863,1.233
589,reward,1,Walker2d-v4,-0.38621320410052096,0.502
603,reward,1,Walker2d-v4,0.3712875236652122,0.615
624,reward,1,Walker2d-v4,5.751914700199436,1.247
671,reward,1,Walker2d-v4,13.549933459174035,2.969
694,reward,1,Walker2d-v4,0.9032022747866753,2.861
729,reward,1,Walker2d-v4,23.069409286850693,4.844
753,reward,1,Walker2d-v4,-4.202452659474596,4.518
768,reward,1,Walker2d-v4,-6.915857268538592,2.905
785,reward,1,Walker2d-v4,-0.9011384197777235,3.997
805,reward,1,Walker2d-v4,6.366821975859324,3.761
816,reward,1,Walker2d-v4,1.3386079676619445,3.933
845,reward,1,Walker2d-v4,11.440428500352851,5.04
880,reward,1,Walker2d-v4,23.80513869102722,6.845
905,reward,1,Walker2d-v4,5.916916626579359,6.082
933,reward,1,Walker2d-v4,0.6578308093875689,6.058
947,reward,1,Walker2d-v4,4.066384527861376,4.157
975,reward,1,Walker2d-v4,1.822073686324046,4.76
1031,reward,1,Walker2d-v4,8.764020875955987,6.328
1058,reward,1,Walker2d-v4,0.16905990566858653,6.435
1102,reward,1,Walker2d-v4,12.935719792063948,7.092
1112,reward,1,Walker2d-v4,-2.4041474977451625,6.717
1142,reward,1,Walker2d-v4,9.351493619454716,6.508
1154,reward,1,Walker2d-v4,-1.8560775262374083,3.942
1180,reward,1,Walker2d-v4,5.320301840019521,3.883
1202,reward,1,Walker2d-v4,1.4860166499952239,3.965
1231,reward,1,Walker2d-v4,8.101001562168852,4.369
1247,reward,1,Walker2d-v4,-1.2128260377635147,4.065
1266,reward,1,Walker2d-v4,0.5432370801395583,3.243
1283,reward,1,Walker2d-v4,8.020620627765393,4.029
1321,reward,1,Walker2d-v4,7.4173497616782385,3.477
1346,reward,1,Walker2d-v4,5.011346400314175,4.218
1379,reward,1,Walker2d-v4,2.948350242478334,3.578
1390,reward,1,Walker2d-v4,2.1352372865818907,3.977
1416,reward,1,Walker2d-v4,11.530935815944922,4.598
1430,reward,1,Walker2d-v4,-9.565443534127104,3.493
1452,reward,1,Walker2d-v4,4.621157092711805,3.145
1484,reward,1,Walker2d-v4,15.579910245107296,4.824
1500,reward,1,Walker2d-v4,-7.823868131538555,3.988
1525,reward,1,Walker2d-v4,0.7256716344456289,3.258
1540,reward,1,Walker2d-v4,-10.857173052327393,1.431
1562,reward,1,Walker2d-v4,-3.6240618027274802,0.567
1583,reward,1,Walker2d-v4,-7.021681101531216,-0.43
1594,reward,1,Walker2d-v4,-3.522133146932691,-0.996
1615,reward,1,Walker2d-v4,7.228868991165293,-1.426
1642,reward,1,Walker2d-v4,0.10259572877492062,-0.459
1660,reward,1,Walker2d-v4,-5.9902474207137395,-1.52
1673,reward,1,Walker2d-v4,-1.7993792378468334,-3.258
1701,reward,1,Walker2d-v4,-9.691569014291536,-3.445
1711,reward,1,Walker2d-v4,-0.531996345028126,-3.571
1730,reward,1,Walker2d-v4,6.5170810587303265,-1.833
1762,reward,1,Walker2d-v4,12.988879680840794,-0.172
1779,reward,1,Walker2d-v4,5.161278202671478,1.046
1804,reward,1,Walker2d-v4,10.994005885971966,2.498
1826,reward,1,Walker2d-v4,-9.47368012876488,0.828
1849,reward,1,Walker2d-v4,-1.954709748135389,0.622
1873,reward,1,Walker2d-v4,11.988723204042945,2.42
1913,reward,1,Walker2d-v4,25.737359422565895,5.174
1925,reward,1,Walker2d-v4,1.9812199116474096,6.341
1965,reward,1,Walker2d-v4,6.276335623938104,7.022
1984,reward,1,Walker2d-v4,7.265170988633585,7.096
2015,reward,1,Walker2d-v4,14.15243760802888,7.213
2030,reward,1,Walker2d-v4,-1.2013045932272597,6.577
2044,reward,1,Walker2d-v4,3.15576018390254,5.793
2061,reward,1,Walker2d-v4,0.4968719365410832,6.79
2095,reward,1,Walker2d-v4,-2.700015959018842,6.715
2111,reward,1,Walker2d-v4,4.476419685843853,5.964
2139,reward,1,Walker2d-v4,0.16578088609674868,3.407
2150,reward,1,Walker2d-v4,0.09760679542065831,3.219
2168,reward,1,Walker2d-v4,8.178233199759289,3.409
2245,reward,1,Walker2d-v4,33.95031221030257,6.077
2258,reward,1,Walker2d-v4,-7.457809316429349,3.916
2270,reward,1,Walker2d-v4,-1.0435626152088446,3.932
2285,reward,1,Walker2d-v4,2.994118740932229,3.916
2301,reward,1,Walker2d-v4,0.3773355202009476,3.904
2316,reward,1,Walker2d-v4,0.13374805812892898,4.187
2333,reward,1,Walker2d-v4,-0.07119079763863101,3.732
2344,reward,1,Walker2d-v4,0.43143599058421667,3.759
2365,reward,1,Walker2d-v4,11.37102614826235,4.886
2390,reward,1,Walker2d-v4,8.741645932058676,4.943
2399,reward,1,Walker2d-v4,-1.0304839162343977,1.445
2416,reward,1,Walker2d-v4,-0.8463734061458319,2.106
2432,reward,1,Walker2d-v4,-3.987764450921893,1.811
2448,reward,1,Walker2d-v4,4.911999181071743,2.003
2463,reward,1,Walker2d-v4,3.0678296719522384,2.272
2479,reward,1,Walker2d-v4,-3.6944469055763056,1.889
2515,reward,1,Walker2d-v4,13.021056435985066,3.199
2530,reward,1,Walker2d-v4,-0.3861501106507462,3.117
2549,reward,1,Walker2d-v4,-2.84876807878499,1.695
2583,reward,1,Walker2d-v4,-1.1875628226190988,0.702
2609,reward,1,Walker2d-v4,3.48161145585543,1.153
2629,reward,1,Walker2d-v4,-5.665141967544506,0.671
2654,reward,1,Walker2d-v4,-8.810070139469204,0.189
2682,reward,1,Walker2d-v4,18.27227832889299,1.525
2711,reward,1,Walker2d-v4,7.966451087893958,2.015
2741,reward,1,Walker2d-v4,10.33837852994065,3.418
2763,reward,1,Walker2d-v4,7.127001525422945,2.829
2785,reward,1,Walker2d-v4,-5.136766618175789,2.354
2794,reward,1,Walker2d-v4,-5.4283835867666355,2.096
2806,reward,1,Walker2d-v4,1.932099436576353,2.408
2830,reward,1,Walker2d-v4,-8.847967450081287,1.175
2850,reward,1,Walker2d-v4,7.2932762610071045,2.471
2869,reward,1,Walker2d-v4,-7.009500781906407,2.651
2895,reward,1,Walker2d-v4,-5.503944696709386,0.273
2906,reward,1,Walker2d-v4,2.7230954949515778,-0.251
2934,reward,1,Walker2d-v4,16.631617224643286,0.378
2959,reward,1,Walker2d-v4,6.444514499638779,0.31
2985,reward,1,Walker2d-v4,8.92649124565699,1.716
3004,reward,1,Walker2d-v4,7.389481459272096,2.998
3029,reward,1,Walker2d-v4,-7.008189706845478,2.104
3061,reward,1,Walker2d-v4,10.950882619231932,4.084
3087,reward,1,Walker2d-v4,6.502765930908493,4.005
3096,reward,1,Walker2d-v4,-2.849354880468722,4.421
3116,reward,1,Walker2d-v4,-3.5287964171268538,4.618
3144,reward,1,Walker2d-v4,0.26402983390575874,4.372
3165,reward,1,Walker2d-v4,5.265327107164142,3.236
3186,reward,1,Walker2d-v4,-5.128997715249646,2.078
3197,reward,1,Walker2d-v4,1.384482522540655,1.324
3220,reward,1,Walker2d-v4,9.887986915264698,1.574
3228,reward,1,Walker2d-v4,-5.9781172293183475,1.677
3250,reward,1,Walker2d-v4,-9.969395726593934,-0.415
3264,reward,1,Walker2d-v4,1.8912308328069585,-0.876
3284,reward,1,Walker2d-v4,0.09279246120866136,-0.582
3302,reward,1,Walker2d-v4,-0.8056306089200538,-0.31
3314,reward,1,Walker2d-v4,-0.05612586355417282,-0.342
3340,reward,1,Walker2d-v4,-1.3554316749546031,-1.004
3358,reward,1,Walker2d-v4,5.920222457424908,0.101
3369,reward,1,Walker2d-v4,-0.3695036258796409,-0.074
3391,reward,1,Walker2d-v4,12.397235152001556,0.177
3406,reward,1,Walker2d-v4,0.4724669729699307,0.822
3418,reward,1,Walker2d-v4,-5.568182052676869,1.262
3424,reward,1,Walker2d-v4,-3.746265456244043,0.698
3445,reward,1,Walker2d-v4,-5.267705299664269,0.162
3467,reward,1,Walker2d-v4,-7.6526948309345775,-0.523
3506,reward,1,Walker2d-v4,-9.464105827748156,-1.463
3537,reward,1,Walker2d-v4,4.091565096987092,-0.919
3573,reward,1,Walker2d-v4,18.92760623795642,0.382
3591,reward,1,Walker2d-v4,4.756761136735994,0.895
3606,reward,1,Walker2d-v4,-2.118104641785152,-0.557
3623,reward,1,Walker2d-v4,3.051670732881245,-0.299
3655,reward,1,Walker2d-v4,13.878875545807018,1.646
3692,reward,1,Walker2d-v4,12.88039446521393,3.308
3707,reward,1,Walker2d-v4,-4.783789896255149,3.357
3725,reward,1,Walker2d-v4,-7.632549679475053,3.359
3745,reward,1,Walker2d-v4,8.765589619377696,5.182
3756,reward,1,Walker2d-v4,-3.242066012667353,4.448
3773,reward,1,Walker2d-v4,2.442589204003222,2.8
3808,reward,1,Walker2d-v4,15.937208367034398,3.918
3822,reward,1,Walker2d-v4,2.9605175044789345,4.426
3869,reward,1,Walker2d-v4,20.299004879381865,6.151
3903,reward,1,Walker2d-v4,6.359369165519157,5.399
3926,reward,1,Walker2d-v4,10.293624551803974,5.14
3933,reward,1,Walker2d-v4,-2.8151998911132163,5.337
3956,reward,1,Walker2d-v4,4.186250184056024,6.519
3970,reward,1,Walker2d-v4,3.1031572375627876,5.952
3987,reward,1,Walker2d-v4,7.082113529341117,6.985
4002,reward,1,Walker2d-v4,-2.797333836852712,6.461
4022,reward,1,Walker2d-v4,-7.607000149413143,4.106
4036,reward,1,Walker2d-v4,-6.240465115560366,3.186
