step,tag
0,phase_start,1,Hopper-v4,80000
11,reward,1,Hopper-v4,9.44142137824837,9.441
29,reward,1,Hopper-v4,8.07809537169048,8.76
42,reward,1,Hopper-v4,8.824722072727866,8.781
54,reward,1,Hopper-v4,8.259375459196045,8.651
90,reward,1,Hopper-v4,55.902343161445884,18.101
103,reward,1,Hopper-v4,12.304886237207299,17.135
119,reward,1,Hopper-v4,14.45215893393098,16.752
136,reward,1,Hopper-v4,15.60625582063392,16.609
148,reward,1,Hopper-v4,10.507493697764266,15.931
160,reward,1,Hopper-v4,8.685855659631956,15.206
174,reward,1,Hopper-v4,10.339397817222132,15.296
189,reward,1,Hopper-v4,10.626656434945204,15.551
197,reward,1,Hopper-v4,4.139148354380889,15.082
215,reward,1,Hopper-v4,24.427251723372375,16.699
231,reward,1,Hopper-v4,14.4368280168347,12.553
241,reward,1,Hopper-v4,5.132849748509191,11.835
262,reward,1,Hopper-v4,19.53545219202823,12.344
272,reward,1,Hopper-v4,8.597843579124506,11.643
288,reward,1,Hopper-v4,18.258359619175845,12.418
310,reward,1,Hopper-v4,19.252597773238406,13.475
326,reward,1,Hopper-v4,10.777939103531581,13.518
343,reward,1,Hopper-v4,18.167331288398806,14.273
360,reward,1,Hopper-v4,18.07236902277373,15.666
370,reward,1,Hopper-v4,8.21979971027463,14.045
381,reward,1,Hopper-v4,6.760332537398926,13.277
392,reward,1,Hopper-v4,9.741228888900984,13.738
408,reward,1,Hopper-v4,11.203755904058319,12.905
419,reward,1,Hopper-v4,9.467879612697171,12.992
439,reward,1,Hopper-v4,8.048182792924898,11.971
449,reward,1,Hopper-v4,7.088556557629264,10.755
463,reward,1,Hopper-v4,12.346104691551144,10.912
471,reward,1,Hopper-v4,6.261328389719167,9.721
485,reward,1,Hopper-v4,12.89464508675052,9.203
497,reward,1,Hopper-v4,9.275770415419851,9.309
525,reward,1,Hopper-v4,21.51931898713826,10.785
534,reward,1,Hopper-v4,4.896735342227208,10.3
543,reward,1,Hopper-v4,7.174224686151867,9.897
556,reward,1,Hopper-v4,5.266038479504652,9.477
573,reward,1,Hopper-v4,10.415070900757392,9.714
587,reward,1,Hopper-v4,7.998904795322811,9.805
612,reward,1,Hopper-v4,13.250379203024865,9.895
626,reward,1,Hopper-v4,11.268305567948229,10.396
639,reward,1,Hopper-v4,10.496947647935116,10.156
653,reward,1,Hopper-v4,7.0839428647313625,9.937
