step,tag
0,phase_start,1,Hopper-v4,80000
45,reward,1,Hopper-v4,42.543640071954364,42.544
54,reward,1,Hopper-v4,6.510636418627096,24.527
68,reward,1,Hopper-v4,8.11176219048582,19.055
78,reward,1,Hopper-v4,4.3227721232390435,15.372
91,reward,1,Hopper-v4,9.144654103205212,14.127
103,reward,1,Hopper-v4,7.501199603684135,13.022
125,reward,1,Hopper-v4,17.94194639202138,13.725
138,reward,1,Hopper-v4,10.053740892908296,13.266
156,reward,1,Hopper-v4,20.06922696996366,14.022
170,reward,1,Hopper-v4,7.4023301583735,13.36
179,reward,1,Hopper-v4,6.997553326799779,9.806
191,reward,1,Hopper-v4,11.001878164870565,10.255
220,reward,1,Hopper-v4,27.858964142318076,12.229
230,reward,1,Hopper-v4,8.018714993953301,12.599
249,reward,1,Hopper-v4,10.194933419759186,12.704
270,reward,1,Hopper-v4,9.804408117423593,12.934
282,reward,1,Hopper-v4,6.090329180950844,11.749
290,reward,1,Hopper-v4,4.8061764226578525,11.224
298,reward,1,Hopper-v4,5.1976462156946965,9.737
315,reward,1,Hopper-v4,9.742083957344262,9.971
327,reward,1,Hopper-v4,5.552662852573067,9.827
339,reward,1,Hopper-v4,7.4137481206424605,9.468
351,reward,1,Hopper-v4,6.599613856118526,7.342
371,reward,1,Hopper-v4,11.132095721995295,7.653
389,reward,1,Hopper-v4,14.34529468770214,8.068
405,reward,1,Hopper-v4,12.009321833621039,8.289
420,reward,1,Hopper-v4,8.208524931382767,8.501
434,reward,1,Hopper-v4,12.532185548458022,9.273
445,reward,1,Hopper-v4,6.83974781158116,9.438
467,reward,1,Hopper-v4,25.46958771941868,11.01
482,reward,1,Hopper-v4,14.760679043124854,11.931
496,reward,1,Hopper-v4,9.33392344191202,12.123
510,reward,1,Hopper-v4,7.496677090592393,12.213
521,reward,1,Hopper-v4,9.395299449763355,12.039
538,reward,1,Hopper-v4,17.495887564707907,12.354
563,reward,1,Hopper-v4,7.811297802953637,11.934
576,reward,1,Hopper-v4,2.747044073778158,11.388
597,reward,1,Hopper-v4,13.732613717382453,11.508
613,reward,1,Hopper-v4,8.93696769774774,11.718
623,reward,1,Hopper-v4,6.746178358565285,9.846
636,reward,1,Hopper-v4,8.907906928166168,9.26
648,reward,1,Hopper-v4,10.641987965232312,9.391
663,reward,1,Hopper-v4,13.131787695255866,9.955
675,reward,1,Hopper-v4,7.819990256549227,9.797
690,reward,1,Hopper-v4,11.149134812221797,9.162
705,reward,1,Hopper-v4,15.275651738053355,9.909
733,reward,1,Hopper-v4,35.2123137661528,13.155
743,reward,1,Hopper-v4,6.126822626736733,12.395
755,reward,1,Hopper-v4,3.84716474037687,11.886
764,reward,1,Hopper-v4,6.494962728118049,11.861
774,reward,1,Hopper-v4,7.4721847630568865,11.717
785,reward,1,Hopper-v4,6.882182528977952,11.341
811,reward,1,Hopper-v4,13.15467064936676,11.344
824,reward,1,Hopper-v4,5.18598483897869,11.08
840,reward,1,Hopper-v4,14.812783532213501,11.446
868,reward,1,Hopper-v4,38.02305876825496,13.721
903,reward,1,Hopper-v4,17.671422578489103,11.967
911,reward,1,Hopper-v4,5.475291156686922,11.902
938,reward,1,Hopper-v4,23.755488283448077,13.893
948,reward,1,Hopper-v4,7.713420022310007,14.015
