step,tag
0,phase_start,1,Walker2d-v4,80000
2376,reward,1,Walker2d-v4,-2.5485129951201237,-1.598
2420,reward,1,Walker2d-v4,-1.5705496609462026,-1.012
2434,reward,1,Walker2d-v4,-0.7896759951318466,-0.71
2468,reward,1,Walker2d-v4,-6.803717297456323,-1.324
2478,reward,1,Walker2d-v4,-1.9329070910740649,-2.451
2503,reward,1,Walker2d-v4,-5.038103487738126,-2.873
2520,reward,1,Walker2d-v4,4.753755967389903,-2.147
2535,reward,1,Walker2d-v4,-6.067464759871802,-2.424
2545,reward,1,Walker2d-v4,-2.7803535793997254,-1.756
2562,reward,1,Walker2d-v4,-2.332616573550874,-2.511
2574,reward,1,Walker2d-v4,0.7555221959968839,-2.181
2609,reward,1,Walker2d-v4,8.817831707329724,-1.142
2632,reward,1,Walker2d-v4,2.3940538227849704,-0.823
2651,reward,1,Walker2d-v4,5.817208616323012,0.439
2665,reward,1,Walker2d-v4,4.382986652196664,1.07
2674,reward,1,Walker2d-v4,-0.9069412990462788,1.483
2701,reward,1,Walker2d-v4,-7.273923354959073,0.281
2713,reward,1,Walker2d-v4,-4.370254476516791,0.45
2743,reward,1,Walker2d-v4,12.216087250885664,1.95
2758,reward,1,Walker2d-v4,0.5798744618786649,2.241
2810,reward,1,Walker2d-v4,1.738072985180881,2.339
2825,reward,1,Walker2d-v4,1.2216605192112733,1.58
2835,reward,1,Walker2d-v4,-1.9198458101801568,1.148
2850,reward,1,Walker2d-v4,2.422970587864987,0.809
2889,reward,1,Walker2d-v4,5.325593583425027,0.903
2915,reward,1,Walker2d-v4,-1.827387183982831,0.811
2929,reward,1,Walker2d-v4,-2.3115837688309195,1.308
2962,reward,1,Walker2d-v4,5.09259639473337,2.254
2976,reward,1,Walker2d-v4,3.5995518248163574,1.392
3001,reward,1,Walker2d-v4,-2.90594684378246,1.044
3032,reward,1,Walker2d-v4,2.501971630784767,1.12
3071,reward,1,Walker2d-v4,-6.791809741626998,0.319
3085,reward,1,Walker2d-v4,0.3811665661552237,0.549
3104,reward,1,Walker2d-v4,-2.7210561440271444,0.034
3126,reward,1,Walker2d-v4,0.3035249679686274,-0.468
3149,reward,1,Walker2d-v4,-8.591005113166425,-1.144
3190,reward,1,Walker2d-v4,23.26557599019153,1.413
3213,reward,1,Walker2d-v4,-5.284777409974718,0.376
3236,reward,1,Walker2d-v4,0.6955175842937861,0.085
3271,reward,1,Walker2d-v4,0.49348946314449305,0.425
3292,reward,1,Walker2d-v4,11.00164054073705,1.275
3312,reward,1,Walker2d-v4,-6.148344255663594,1.34
3338,reward,1,Walker2d-v4,-7.745734842871067,0.527
