step,tag
0,phase_start,1,Walker2d-v4,80000
8,reward,1,Walker2d-v4,-3.420099862670829,-3.42
25,reward,1,Walker2d-v4,-4.060374358895523,-3.74
34,reward,1,Walker2d-v4,-3.350462822779051,-3.61
45,reward,1,Walker2d-v4,-1.682790218019362,-3.128
70,reward,1,Walker2d-v4,6.800182155019369,-1.143
94,reward,1,Walker2d-v4,9.237784867175721,0.587
119,reward,1,Walker2d-v4,9.111726691530093,1.805
142,reward,1,Walker2d-v4,-2.35985492121733,1.285
168,reward,1,Walker2d-v4,6.157777960333144,1.826
185,reward,1,Walker2d-v4,3.880039324993243,2.031
211,reward,1,Walker2d-v4,-1.762440450737874,2.197
232,reward,1,Walker2d-v4,1.069855054901704,2.71
258,reward,1,Walker2d-v4,-0.2867852328315592,3.017
278,reward,1,Walker2d-v4,-4.034056690229335,2.781
287,reward,1,Walker2d-v4,-3.076622208907546,1.794
307,reward,1,Walker2d-v4,0.00916347974907672,0.871
326,reward,1,Walker2d-v4,2.0257204040158596,0.162
338,reward,1,Walker2d-v4,-4.768659161862303,-0.079
358,reward,1,Walker2d-v4,2.283899642025613,-0.466
372,reward,1,Walker2d-v4,-3.1575577780543083,-1.17
390,reward,1,Walker2d-v4,-1.349627632601089,-1.128
404,reward,1,Walker2d-v4,0.5099962528811884,-1.184
457,reward,1,Walker2d-v4,6.1316179673741775,-0.543
483,reward,1,Walker2d-v4,0.22107990389434895,-0.117
496,reward,1,Walker2d-v4,2.611190458975005,0.452
516,reward,1,Walker2d-v4,-7.928626595076162,-0.342
526,reward,1,Walker2d-v4,-2.3785048453992736,-0.783
560,reward,1,Walker2d-v4,3.633356973623892,0.058
577,reward,1,Walker2d-v4,-7.171854695858117,-0.888
626,reward,1,Walker2d-v4,32.73300245625119,2.701
635,reward,1,Walker2d-v4,-1.6221617985070926,2.674
653,reward,1,Walker2d-v4,-9.767185999673336,1.646
688,reward,1,Walker2d-v4,20.283552875943275,3.061
727,reward,1,Walker2d-v4,0.9334962858355231,3.133
747,reward,1,Walker2d-v4,-0.4342374042546919,2.828
758,reward,1,Walker2d-v4,-2.3453489718245137,3.386
774,reward,1,Walker2d-v4,-4.104702161989998,3.214
789,reward,1,Walker2d-v4,1.4069997961744172,2.991
803,reward,1,Walker2d-v4,-2.5984826650639095,3.448
812,reward,1,Walker2d-v4,-0.47020511786611197,0.128
832,reward,1,Walker2d-v4,1.2448271677749512,0.415
845,reward,1,Walker2d-v4,-1.8683623168942094,1.205
859,reward,1,Walker2d-v4,-2.6149398441386906,-1.085
880,reward,1,Walker2d-v4,5.999601623610036,-0.578
893,reward,1,Walker2d-v4,-1.2723708642689142,-0.662
919,reward,1,Walker2d-v4,5.746012988519292,0.147
936,reward,1,Walker2d-v4,-4.121884660703847,0.145
959,reward,1,Walker2d-v4,0.1730801472843584,0.022
989,reward,1,Walker2d-v4,-3.306917851431624,-0.049
1013,reward,1,Walker2d-v4,-2.17866304770751,-0.22
1034,reward,1,Walker2d-v4,2.346560526255422,-0.11
1079,reward,1,Walker2d-v4,19.982221577787335,2.075
1102,reward,1,Walker2d-v4,-1.9365746581758823,2.143
1125,reward,1,Walker2d-v4,0.615348081791768,1.605
1134,reward,1,Walker2d-v4,-2.581163979387721,1.474
1160,reward,1,Walker2d-v4,6.250116771662184,1.524
1177,reward,1,Walker2d-v4,2.8236945650861003,2.219
1188,reward,1,Walker2d-v4,-0.3003949599667557,2.171
1205,reward,1,Walker2d-v4,2.160418266439777,2.718
1225,reward,1,Walker2d-v4,-9.181433295047897,2.018
1251,reward,1,Walker2d-v4,1.743131351470287,1.958
1272,reward,1,Walker2d-v4,-5.5827700171685475,-0.599
1309,reward,1,Walker2d-v4,10.294864695470098,0.624
1321,reward,1,Walker2d-v4,1.0526415278541728,0.668
1348,reward,1,Walker2d-v4,2.8790219177806105,1.214
1357,reward,1,Walker2d-v4,-3.868696591173615,0.202
1386,reward,1,Walker2d-v4,9.852431252447278,0.905
1404,reward,1,Walker2d-v4,4.109448210001814,1.346
1434,reward,1,Walker2d-v4,2.1604185106754796,1.346
1458,reward,1,Walker2d-v4,1.0099582988429967,2.365
1485,reward,1,Walker2d-v4,-0.14473298925545175,2.176
1508,reward,1,Walker2d-v4,7.663242766919416,3.501
1519,reward,1,Walker2d-v4,-0.9318555389235368,2.378
1537,reward,1,Walker2d-v4,-1.1633515651919342,2.157
1550,reward,1,Walker2d-v4,1.1777995325633774,1.986
1578,reward,1,Walker2d-v4,-0.13567042077010294,2.36
1596,reward,1,Walker2d-v4,7.069375372619837,2.081
1627,reward,1,Walker2d-v4,13.714595137413848,3.042
1652,reward,1,Walker2d-v4,-7.016937978899367,2.124
1677,reward,1,Walker2d-v4,2.4514487293671303,2.268
1691,reward,1,Walker2d-v4,-0.15994639505659425,2.267
1707,reward,1,Walker2d-v4,-5.848464330436206,0.916
1721,reward,1,Walker2d-v4,-2.8051543602185087,0.728
1746,reward,1,Walker2d-v4,-1.7284989091074034,0.672
1777,reward,1,Walker2d-v4,4.766503213444447,1.031
1791,reward,1,Walker2d-v4,2.8013137383914195,1.324
1805,reward,1,Walker2d-v4,-4.2453162275013065,0.193
1857,reward,1,Walker2d-v4,41.57043354716913,2.979
1866,reward,1,Walker2d-v4,-0.6740481207933324,3.613
1881,reward,1,Walker2d-v4,-3.518612230859267,3.016
1899,reward,1,Walker2d-v4,-8.086198032833531,2.223
1934,reward,1,Walker2d-v4,-2.69980667608485,2.538
1960,reward,1,Walker2d-v4,-1.8924327439894824,2.629
1969,reward,1,Walker2d-v4,-1.968586211997261,2.605
1984,reward,1,Walker2d-v4,2.951845976643182,2.424
2002,reward,1,Walker2d-v4,5.894369296292266,2.733
2031,reward,1,Walker2d-v4,-6.896817110221346,2.468
2053,reward,1,Walker2d-v4,5.546001294205682,-1.134
2062,reward,1,Walker2d-v4,-0.23478102327879113,-1.091
2087,reward,1,Walker2d-v4,-5.969449239330783,-1.336
2099,reward,1,Walker2d-v4,0.24289006743700225,-0.503
2128,reward,1,Walker2d-v4,-3.1449485095434664,-0.547
2144,reward,1,Walker2d-v4,7.920702060956253,0.434
2169,reward,1,Walker2d-v4,-5.240187310108687,0.107
2183,reward,1,Walker2d-v4,0.06783164632603467,-0.181
2198,reward,1,Walker2d-v4,3.43834148417583,-0.427
2226,reward,1,Walker2d-v4,2.3593667265800415,0.499
2242,reward,1,Walker2d-v4,-3.001773919124224,-0.356
2265,reward,1,Walker2d-v4,0.27724324274177237,-0.305
2295,reward,1,Walker2d-v4,4.139720484950196,0.706
2319,reward,1,Walker2d-v4,3.3742030009313395,1.019
2330,reward,1,Walker2d-v4,0.746567004139226,1.408
2352,reward,1,Walker2d-v4,-9.04429382695489,-0.288
2359,reward,1,Walker2d-v4,-5.879001145833495,-0.352
2380,reward,1,Walker2d-v4,-0.3320754761554794,-0.392
2395,reward,1,Walker2d-v4,-2.491006683595605,-0.985
2418,reward,1,Walker2d-v4,1.0304380199125052,-1.118
2449,reward,1,Walker2d-v4,-0.039858603779829305,-0.822
2460,reward,1,Walker2d-v4,0.27296770039806717,-0.822
2540,reward,1,Walker2d-v4,-1.851634446328493,-1.421
2560,reward,1,Walker2d-v4,-5.3838845942167595,-2.297
2571,reward,1,Walker2d-v4,-4.461572343321946,-2.818
2592,reward,1,Walker2d-v4,-3.1994012993104146,-2.234
2609,reward,1,Walker2d-v4,0.8710505548324265,-1.558
2622,reward,1,Walker2d-v4,-3.2889277443908833,-1.854
2648,reward,1,Walker2d-v4,3.7621035824800284,-1.229
2670,reward,1,Walker2d-v4,-8.23389185308619,-2.155
2683,reward,1,Walker2d-v4,-1.9277398536401087,-2.344
2704,reward,1,Walker2d-v4,-7.874294877784573,-3.159
2735,reward,1,Walker2d-v4,-0.011841078084888768,-2.975
2765,reward,1,Walker2d-v4,4.631927557883248,-1.973
2795,reward,1,Walker2d-v4,5.913090623004429,-0.936
2815,reward,1,Walker2d-v4,-4.4641182007285,-1.062
2853,reward,1,Walker2d-v4,9.331527710521723,-0.216
2894,reward,1,Walker2d-v4,5.2477168831046495,0.637
2909,reward,1,Walker2d-v4,-1.491344424844418,0.112
2920,reward,1,Walker2d-v4,-3.6432527750391106,0.571
2928,reward,1,Walker2d-v4,-3.0931743216711425,0.455
2942,reward,1,Walker2d-v4,2.288592912336546,1.471
2951,reward,1,Walker2d-v4,-1.987994486714369,1.273
2969,reward,1,Walker2d-v4,0.1918136543729445,0.829
3001,reward,1,Walker2d-v4,11.63103798247699,1.401
3026,reward,1,Walker2d-v4,-0.2716938704379275,1.82
3044,reward,1,Walker2d-v4,1.924114017062013,1.08
3080,reward,1,Walker2d-v4,-9.462338945733167,-0.391
3098,reward,1,Walker2d-v4,-3.198532715131277,-0.562
3132,reward,1,Walker2d-v4,15.272842458012155,1.329
3147,reward,1,Walker2d-v4,-3.975995488211688,1.241
3161,reward,1,Walker2d-v4,-0.39280938696740764,0.973
3183,reward,1,Walker2d-v4,9.338984752334069,2.106
3199,reward,1,Walker2d-v4,1.2748476795091481,2.214
3218,reward,1,Walker2d-v4,2.80831005186387,1.332
3236,reward,1,Walker2d-v4,6.125418095137629,1.971
3272,reward,1,Walker2d-v4,0.5421746221607475,1.833
3305,reward,1,Walker2d-v4,8.501355389848854,3.63
3327,reward,1,Walker2d-v4,8.100977081989324,4.76
3347,reward,1,Walker2d-v4,-4.841463450367053,2.748
3360,reward,1,Walker2d-v4,-1.687452877110221,2.977
3393,reward,1,Walker2d-v4,11.265883864595224,4.143
3405,reward,1,Walker2d-v4,-0.5457547136614453,3.154
3420,reward,1,Walker2d-v4,3.9987641856835676,3.427
