step,tag,episode,reward,avg10,algo,env,seed
9,reward,1,-2.432010484649405,-2.432,PPO,Walker2d-v4,1
26,reward,2,-0.2926838763233728,-1.362,PPO,Walker2d-v4,1
38,reward,3,1.171738519575394,-0.518,PPO,Walker2d-v4,1
59,reward,4,-6.2648969003994734,-1.954,PPO,Walker2d-v4,1
77,reward,5,-3.8059903687708703,-2.325,PPO,Walker2d-v4,1
92,reward,6,2.964421491004309,-1.443,PPO,Walker2d-v4,1
107,reward,7,-4.455474495052488,-1.874,PPO,Walker2d-v4,1
122,reward,8,-1.1468369711904707,-1.783,PPO,Walker2d-v4,1
130,reward,9,-1.7155968326989781,-1.775,PPO,Walker2d-v4,1
144,reward,10,-3.4885282484170075,-1.947,PPO,Walker2d-v4,1
167,reward,11,-4.5963846536690625,-2.163,PPO,Walker2d-v4,1
193,reward,12,2.5763176582795957,-1.876,PPO,Walker2d-v4,1
208,reward,13,-2.3584768482484098,-2.229,PPO,Walker2d-v4,1
218,reward,14,-1.0743968246695568,-1.71,PPO,Walker2d-v4,1
234,reward,15,2.598654751790204,-1.07,PPO,Walker2d-v4,1
246,reward,16,-1.075603499543102,-1.474,PPO,Walker2d-v4,1
259,reward,17,2.981395111039573,-0.73,PPO,Walker2d-v4,1
275,reward,18,-0.8117196738150748,-0.696,PPO,Walker2d-v4,1
293,reward,19,-3.5840868427660646,-0.883,PPO,Walker2d-v4,1
309,reward,20,-1.8043036502827996,-0.715,PPO,Walker2d-v4,1
329,reward,21,0.8595885206005678,-0.169,PPO,Walker2d-v4,1
351,reward,22,-3.7375871587530884,-0.801,PPO,Walker2d-v4,1
366,reward,23,0.5990104423103477,-0.505,PPO,Walker2d-v4,1
395,reward,24,0.3993816196096489,-0.358,PPO,Walker2d-v4,1
405,reward,25,-0.802778581597144,-0.698,PPO,Walker2d-v4,1
427,reward,26,-2.5217355838228164,-0.842,PPO,Walker2d-v4,1
443,reward,27,-7.854243879871977,-1.926,PPO,Walker2d-v4,1
461,reward,28,-7.07979988507311,-2.553,PPO,Walker2d-v4,1
486,reward,29,-3.5672496930230784,-2.551,PPO,Walker2d-v4,1
504,reward,30,-0.9704273027844407,-2.468,PPO,Walker2d-v4,1
524,reward,31,6.838307957465264,-1.87,PPO,Walker2d-v4,1
540,reward,32,-4.838922077575443,-1.98,PPO,Walker2d-v4,1
554,reward,33,-8.163667664890859,-2.856,PPO,Walker2d-v4,1
571,reward,34,4.317194451846127,-2.464,PPO,Walker2d-v4,1
595,reward,35,-7.319391198127038,-3.116,PPO,Walker2d-v4,1
611,reward,36,-1.0834144704405175,-2.972,PPO,Walker2d-v4,1
638,reward,37,5.194286213599581,-1.667,PPO,Walker2d-v4,1
660,reward,38,-14.224760656240221,-2.382,PPO,Walker2d-v4,1
681,reward,39,-4.7309862954988295,-2.498,PPO,Walker2d-v4,1
700,reward,40,-8.78641450289011,-3.28,PPO,Walker2d-v4,1
711,reward,41,-2.626900677044996,-4.226,PPO,Walker2d-v4,1
726,reward,42,-7.731036987726296,-4.516,PPO,Walker2d-v4,1
741,reward,43,-4.186506905139448,-4.118,PPO,Walker2d-v4,1
763,reward,44,-3.5690908022594243,-4.906,PPO,Walker2d-v4,1
792,reward,45,-0.8146724474815443,-4.256,PPO,Walker2d-v4,1
801,reward,46,-0.8435819363353974,-4.232,PPO,Walker2d-v4,1
813,reward,47,2.601037622808927,-4.491,PPO,Walker2d-v4,1
826,reward,48,-3.764150548210685,-3.445,PPO,Walker2d-v4,1
857,reward,49,10.956534453599605,-1.876,PPO,Walker2d-v4,1
901,reward,50,15.625684090577975,0.565,PPO,Walker2d-v4,1
915,reward,51,-1.6849455252076455,0.659,PPO,Walker2d-v4,1
937,reward,52,7.619367855051923,2.194,PPO,Walker2d-v4,1
950,reward,53,-0.41977744129025063,2.571,PPO,Walker2d-v4,1
974,reward,54,4.431920815237234,3.371,PPO,Walker2d-v4,1
998,reward,55,7.08711538339619,4.161,PPO,Walker2d-v4,1
1012,reward,56,-0.6070240395541449,4.185,PPO,Walker2d-v4,1
1025,reward,57,-0.966927733291792,3.828,PPO,Walker2d-v4,1
1045,reward,58,-3.9685969548168343,3.807,PPO,Walker2d-v4,1
1060,reward,59,-1.1091795736845165,2.601,PPO,Walker2d-v4,1
1080,reward,60,-4.851943635121838,0.553,PPO,Walker2d-v4,1
1104,reward,61,-3.810967950785301,0.34,PPO,Walker2d-v4,1
1138,reward,62,7.9849698300516785,0.377,PPO,Walker2d-v4,1
1152,reward,63,-3.164340999346555,0.103,PPO,Walker2d-v4,1
1174,reward,64,4.598610261781093,0.119,PPO,Walker2d-v4,1
1183,reward,65,-4.082007848838291,-0.998,PPO,Walker2d-v4,1
1192,reward,66,-4.021304167526118,-1.339,PPO,Walker2d-v4,1
1202,reward,67,-2.1658621486371445,-1.459,PPO,Walker2d-v4,1
1232,reward,68,-3.3442553362273,-1.397,PPO,Walker2d-v4,1
1255,reward,69,-0.6190671431959368,-1.348,PPO,Walker2d-v4,1
1276,reward,70,-11.534124066761965,-2.016,PPO,Walker2d-v4,1
1293,reward,71,2.7246872711919856,-1.362,PPO,Walker2d-v4,1
1309,reward,72,-10.032496069953238,-3.164,PPO,Walker2d-v4,1
1320,reward,73,1.0705023209220823,-2.741,PPO,Walker2d-v4,1
1359,reward,74,1.8666352800420347,-3.014,PPO,Walker2d-v4,1
1387,reward,75,0.5109693779371383,-2.554,PPO,Walker2d-v4,1
1404,reward,76,-9.192118737502394,-3.072,PPO,Walker2d-v4,1
1430,reward,77,-1.9899849972576846,-3.054,PPO,Walker2d-v4,1
1447,reward,78,-1.9790073201722065,-2.917,PPO,Walker2d-v4,1
1459,reward,79,-1.956014178364367,-3.051,PPO,Walker2d-v4,1
1473,reward,80,-6.4765603398264515,-2.545,PPO,Walker2d-v4,1
1525,reward,81,23.322080116890284,-0.486,PPO,Walker2d-v4,1
1547,reward,82,-4.879873465887282,0.03,PPO,Walker2d-v4,1
1581,reward,83,12.816390195316462,1.204,PPO,Walker2d-v4,1
1601,reward,84,2.3032591484018456,1.248,PPO,Walker2d-v4,1
1613,reward,85,-4.622643642172343,0.735,PPO,Walker2d-v4,1
1628,reward,86,-0.5484738687239841,1.599,PPO,Walker2d-v4,1
1662,reward,87,3.935770851975594,2.191,PPO,Walker2d-v4,1
1683,reward,88,6.05404937009887,2.995,PPO,Walker2d-v4,1
1697,reward,89,-6.262401347971796,2.564,PPO,Walker2d-v4,1
1723,reward,90,-6.332044974666502,2.579,PPO,Walker2d-v4,1
1742,reward,91,-5.7088222043847505,-0.324,PPO,Walker2d-v4,1
1752,reward,92,-3.883136516970233,-0.225,PPO,Walker2d-v4,1
1776,reward,93,0.5553223629758823,-1.451,PPO,Walker2d-v4,1
1789,reward,94,2.068506555007087,-1.474,PPO,Walker2d-v4,1
