step,tag,episode,reward,avg10,algo,env,seed
1712,reward,84,11.62514558326382,10.232,PPO,Hopper-v4,0
1723,reward,85,9.072254726088776,10.644,PPO,Hopper-v4,0
1775,reward,86,44.97680893955955,13.962,PPO,Hopper-v4,0
1784,reward,87,5.596686186705413,13.506,PPO,Hopper-v4,0
1806,reward,88,21.431768295905393,13.95,PPO,Hopper-v4,0
1817,reward,89,7.4442054465268,14.119,PPO,Hopper-v4,0
1830,reward,90,7.972274428784933,14.225,PPO,Hopper-v4,0
1871,reward,91,17.407070523518282,14.963,PPO,Hopper-v4,0
1885,reward,92,4.818689854464404,14.87,PPO,Hopper-v4,0
1904,reward,93,9.177677568985864,13.952,PPO,Hopper-v4,0
1945,reward,94,32.033192141069094,15.993,PPO,Hopper-v4,0
1968,reward,95,10.194856880507986,16.105,PPO,Hopper-v4,0
1996,reward,96,17.129632240040188,13.321,PPO,Hopper-v4,0
2006,reward,97,6.533302805127774,13.414,PPO,Hopper-v4,0
2034,reward,98,24.395944936832215,13.711,PPO,Hopper-v4,0
2070,reward,99,49.59602359389377,17.926,PPO,Hopper-v4,0
2091,reward,100,20.33643151921777,19.162,PPO,Hopper-v4,0
2113,reward,101,7.131108322035663,18.135,PPO,Hopper-v4,0
2128,reward,102,10.089501289179605,18.662,PPO,Hopper-v4,0
2141,reward,103,5.3669276830860975,18.281,PPO,Hopper-v4,0
2160,reward,104,15.788711216499271,16.656,PPO,Hopper-v4,0
2204,reward,105,53.27486541046791,20.964,PPO,Hopper-v4,0
2229,reward,106,27.50354422698341,22.002,PPO,Hopper-v4,0
2241,reward,107,6.6859921509933935,22.017,PPO,Hopper-v4,0
2258,reward,108,15.056003111704484,21.083,PPO,Hopper-v4,0
2281,reward,109,16.069174591293134,17.73,PPO,Hopper-v4,0
2300,reward,110,20.239392962525873,17.721,PPO,Hopper-v4,0
2339,reward,111,47.406346431532604,21.748,PPO,Hopper-v4,0
2351,reward,112,6.314928128897501,21.371,PPO,Hopper-v4,0
2377,reward,113,11.038073801250045,21.938,PPO,Hopper-v4,0
2411,reward,114,14.10100246186223,21.769,PPO,Hopper-v4,0
2436,reward,115,8.411618690869297,17.283,PPO,Hopper-v4,0
2455,reward,116,16.26156917074162,16.158,PPO,Hopper-v4,0
2475,reward,117,17.9077245428043,17.281,PPO,Hopper-v4,0
2491,reward,118,11.647092037533561,16.94,PPO,Hopper-v4,0
2505,reward,119,9.88101570728267,16.321,PPO,Hopper-v4,0
2530,reward,120,15.921154279121932,15.889,PPO,Hopper-v4,0
2562,reward,121,28.89237993494485,14.038,PPO,Hopper-v4,0
2587,reward,122,12.907050344385976,14.697,PPO,Hopper-v4,0
2606,reward,123,11.986774589283494,14.792,PPO,Hopper-v4,0
2621,reward,124,5.513650233473721,13.933,PPO,Hopper-v4,0
2640,reward,125,8.079129966923535,13.9,PPO,Hopper-v4,0
2670,reward,126,28.11222284064909,15.085,PPO,Hopper-v4,0
2724,reward,127,77.44667630498128,21.039,PPO,Hopper-v4,0
2738,reward,128,9.400748334633757,20.814,PPO,Hopper-v4,0
2747,reward,129,6.394661556907887,20.465,PPO,Hopper-v4,0
2760,reward,130,8.880910734854856,19.761,PPO,Hopper-v4,0
2786,reward,131,27.465232411948865,19.619,PPO,Hopper-v4,0
2814,reward,132,10.386056587349163,19.367,PPO,Hopper-v4,0
2831,reward,133,15.717591583133727,19.74,PPO,Hopper-v4,0
2856,reward,134,20.829141320982455,21.271,PPO,Hopper-v4,0
2878,reward,135,21.126382293789348,22.576,PPO,Hopper-v4,0
2893,reward,136,12.343483187807395,20.999,PPO,Hopper-v4,0
2916,reward,137,7.140150190009748,13.968,PPO,Hopper-v4,0
2943,reward,138,29.146675536246434,15.943,PPO,Hopper-v4,0
2989,reward,139,23.557680081698646,17.659,PPO,Hopper-v4,0
3007,reward,140,15.270288449419306,18.298,PPO,Hopper-v4,0
3024,reward,141,15.669299421294903,17.119,PPO,Hopper-v4,0
3064,reward,142,24.889091574328106,18.569,PPO,Hopper-v4,0
3090,reward,143,24.45765240412093,19.443,PPO,Hopper-v4,0
3118,reward,144,34.185147549856914,20.779,PPO,Hopper-v4,0
3151,reward,145,15.38318554400875,20.204,PPO,Hopper-v4,0
3172,reward,146,10.82748267244501,20.053,PPO,Hopper-v4,0
3189,reward,147,10.423692546983508,20.381,PPO,Hopper-v4,0
3212,reward,148,9.005375590798574,18.367,PPO,Hopper-v4,0
3233,reward,149,10.586394502833977,17.07,PPO,Hopper-v4,0
3244,reward,150,6.768127997234464,16.22,PPO,Hopper-v4,0
3267,reward,151,6.960893236167818,15.349,PPO,Hopper-v4,0
3284,reward,152,14.272979240317786,14.287,PPO,Hopper-v4,0
3300,reward,153,15.083009302642905,13.35,PPO,Hopper-v4,0
3327,reward,154,12.305067683548174,11.162,PPO,Hopper-v4,0
3347,reward,155,8.347916085275376,10.458,PPO,Hopper-v4,0
3367,reward,156,12.416088572141538,10.617,PPO,Hopper-v4,0
3382,reward,157,11.102627814312488,10.685,PPO,Hopper-v4,0
