step,tag,episode,reward,avg10,algo,env,seed
1851,reward,90,-0.2562136603086069,-0.299,PPO,Walker2d-v4,0
1870,reward,91,1.226465026280811,-0.049,PPO,Walker2d-v4,0
1905,reward,92,18.68629525611635,1.935,PPO,Walker2d-v4,0
1922,reward,93,-4.092951409593814,1.639,PPO,Walker2d-v4,0
1944,reward,94,2.807199159540624,1.138,PPO,Walker2d-v4,0
1966,reward,95,4.195406627970982,1.555,PPO,Walker2d-v4,0
1979,reward,96,-6.833576422037367,2.145,PPO,Walker2d-v4,0
2000,reward,97,-6.020671649022802,0.338,PPO,Walker2d-v4,0
2023,reward,98,-12.525671445308527,-0.846,PPO,Walker2d-v4,0
2048,reward,99,8.515566397224198,0.57,PPO,Walker2d-v4,0
2071,reward,100,-9.350377036786375,-0.339,PPO,Walker2d-v4,0
2097,reward,101,-5.705808558411243,-1.032,PPO,Walker2d-v4,0
2118,reward,102,3.2873048237796345,-2.572,PPO,Walker2d-v4,0
2131,reward,103,-1.4414214911929748,-2.307,PPO,Walker2d-v4,0
2150,reward,104,2.3147295953983766,-2.356,PPO,Walker2d-v4,0
2164,reward,105,-0.6594787045888995,-2.842,PPO,Walker2d-v4,0
2182,reward,106,0.5558185729437457,-2.103,PPO,Walker2d-v4,0
2209,reward,107,-2.9914335071749116,-1.8,PPO,Walker2d-v4,0
2226,reward,108,-2.9441623557462373,-0.842,PPO,Walker2d-v4,0
2239,reward,109,1.2463414752797517,-1.569,PPO,Walker2d-v4,0
2252,reward,110,1.460876641023183,-0.488,PPO,Walker2d-v4,0
2265,reward,111,-3.422052382712031,-0.259,PPO,Walker2d-v4,0
2281,reward,112,2.936233954536242,-0.294,PPO,Walker2d-v4,0
2295,reward,113,-2.862548176367181,-0.437,PPO,Walker2d-v4,0
2324,reward,114,8.779280931038022,0.21,PPO,Walker2d-v4,0
2357,reward,115,-5.117642593694191,-0.236,PPO,Walker2d-v4,0
2369,reward,116,2.427045436494714,-0.049,PPO,Walker2d-v4,0
2384,reward,117,4.197597934478883,0.67,PPO,Walker2d-v4,0
2399,reward,118,-7.514764767869594,0.213,PPO,Walker2d-v4,0
2414,reward,119,-5.970736123589821,-0.509,PPO,Walker2d-v4,0
2422,reward,120,-2.7791040180287983,-0.933,PPO,Walker2d-v4,0
2436,reward,121,-1.2164733052476246,-0.712,PPO,Walker2d-v4,0
2454,reward,122,2.278671070033971,-0.778,PPO,Walker2d-v4,0
2507,reward,123,19.531196951148583,1.462,PPO,Walker2d-v4,0
2525,reward,124,5.13095330580858,1.097,PPO,Walker2d-v4,0
2542,reward,125,-4.502926325444547,1.158,PPO,Walker2d-v4,0
2553,reward,126,-0.4489811673433781,0.871,PPO,Walker2d-v4,0
2569,reward,127,-4.574136801741072,-0.007,PPO,Walker2d-v4,0
2583,reward,128,2.0594881298700125,0.951,PPO,Walker2d-v4,0
2612,reward,129,5.000484897491885,2.048,PPO,Walker2d-v4,0
2625,reward,130,-0.010522560927709868,2.325,PPO,Walker2d-v4,0
2640,reward,131,-0.429548001963733,2.403,PPO,Walker2d-v4,0
2676,reward,132,2.4325745941441657,2.419,PPO,Walker2d-v4,0
2690,reward,133,-0.2483846783254382,0.441,PPO,Walker2d-v4,0
2710,reward,134,-3.0449539176877414,-0.377,PPO,Walker2d-v4,0
2724,reward,135,-5.144948036800958,-0.441,PPO,Walker2d-v4,0
2736,reward,136,0.012025951305230542,-0.395,PPO,Walker2d-v4,0
2753,reward,137,-1.5881727043431757,-0.096,PPO,Walker2d-v4,0
2796,reward,138,20.7551051777739,1.773,PPO,Walker2d-v4,0
2821,reward,139,-8.956094674324264,0.378,PPO,Walker2d-v4,0
2832,reward,140,-7.063410752251789,-0.328,PPO,Walker2d-v4,0
2848,reward,141,1.9418668909195045,-0.09,PPO,Walker2d-v4,0
2863,reward,142,4.70952527215367,0.137,PPO,Walker2d-v4,0
2872,reward,143,-0.4062196591640177,0.121,PPO,Walker2d-v4,0
2887,reward,144,0.9634892746244164,0.522,PPO,Walker2d-v4,0
2907,reward,145,-3.7606579432999814,0.661,PPO,Walker2d-v4,0
2939,reward,146,5.28677096642938,1.188,PPO,Walker2d-v4,0
2950,reward,147,-1.9915425967934404,1.148,PPO,Walker2d-v4,0
2982,reward,148,5.627866661298535,-0.365,PPO,Walker2d-v4,0
3009,reward,149,2.759630422687713,0.807,PPO,Walker2d-v4,0
3022,reward,150,1.014538407468682,1.615,PPO,Walker2d-v4,0
3037,reward,151,-1.0115382652910958,1.319,PPO,Walker2d-v4,0
3058,reward,152,8.818407016859886,1.73,PPO,Walker2d-v4,0
3072,reward,153,0.35120093812696374,1.806,PPO,Walker2d-v4,0
3110,reward,154,-2.632956608340347,1.446,PPO,Walker2d-v4,0
3132,reward,155,8.709229704136286,2.693,PPO,Walker2d-v4,0
3145,reward,156,1.9418934384450066,2.359,PPO,Walker2d-v4,0
3161,reward,157,-3.5122642671781588,2.207,PPO,Walker2d-v4,0
3186,reward,158,-4.015244596607177,1.242,PPO,Walker2d-v4,0
