step,tag
0,phase_start,1,Hopper-v4,80000
19,reward,1,Hopper-v4,17.284113462213558,17.284
39,reward,1,Hopper-v4,10.317882629090942,13.801
58,reward,1,Hopper-v4,12.792686490058767,13.465
76,reward,1,Hopper-v4,8.99392243945647,12.347
93,reward,1,Hopper-v4,11.682731604645477,12.214
104,reward,1,Hopper-v4,7.227756787692492,11.383
126,reward,1,Hopper-v4,26.537560079036627,13.548
141,reward,1,Hopper-v4,13.577123813285091,13.552
165,reward,1,Hopper-v4,14.176923139055344,13.621
177,reward,1,Hopper-v4,10.9984085273828,13.359
194,reward,1,Hopper-v4,12.999236432566526,12.93
212,reward,1,Hopper-v4,12.319355412776389,13.131
238,reward,1,Hopper-v4,4.589701505444598,12.31
269,reward,1,Hopper-v4,24.479566023629253,13.859
303,reward,1,Hopper-v4,18.28278798407159,14.519
320,reward,1,Hopper-v4,8.756814768964647,14.672
330,reward,1,Hopper-v4,7.9368519745354495,12.812
347,reward,1,Hopper-v4,9.145783505366575,12.369
365,reward,1,Hopper-v4,13.36623652565131,12.287
382,reward,1,Hopper-v4,12.354122195943683,12.423
412,reward,1,Hopper-v4,18.3921442143416,12.962
423,reward,1,Hopper-v4,8.883933446819533,12.619
455,reward,1,Hopper-v4,25.215467259302077,14.681
467,reward,1,Hopper-v4,9.139139726065485,13.147
501,reward,1,Hopper-v4,18.71146201852161,13.19
510,reward,1,Hopper-v4,3.861719203841707,12.701
521,reward,1,Hopper-v4,7.4566854665647515,12.653
543,reward,1,Hopper-v4,16.61747723037939,13.4
560,reward,1,Hopper-v4,13.852416664288876,13.448
593,reward,1,Hopper-v4,25.146672583082257,14.728
620,reward,1,Hopper-v4,26.90511690532795,15.579
637,reward,1,Hopper-v4,4.578202309131166,15.148
649,reward,1,Hopper-v4,8.1051109650351,13.437
660,reward,1,Hopper-v4,9.179827417768426,13.441
671,reward,1,Hopper-v4,9.835012989047181,12.554
687,reward,1,Hopper-v4,12.98859235688267,13.467
704,reward,1,Hopper-v4,9.223328099399271,13.643
714,reward,1,Hopper-v4,7.394276490596836,12.721
731,reward,1,Hopper-v4,17.331229013491182,13.069
755,reward,1,Hopper-v4,15.653771028269201,12.119
774,reward,1,Hopper-v4,11.621965766093401,10.591
792,reward,1,Hopper-v4,15.564353429941105,11.69
812,reward,1,Hopper-v4,8.213459025266582,11.701
828,reward,1,Hopper-v4,11.40900224659678,11.923
842,reward,1,Hopper-v4,10.087640115326954,11.949
863,reward,1,Hopper-v4,11.609012112058897,11.811
881,reward,1,Hopper-v4,18.21124712186915,12.71
897,reward,1,Hopper-v4,11.761524873770636,13.146
910,reward,1,Hopper-v4,10.546724651238053,12.468
921,reward,1,Hopper-v4,8.93541571522179,11.796
932,reward,1,Hopper-v4,7.692985647292636,11.403
962,reward,1,Hopper-v4,16.384752292045167,11.485
980,reward,1,Hopper-v4,10.35976119927154,11.7
990,reward,1,Hopper-v4,7.819302962047637,11.341
1000,reward,1,Hopper-v4,7.5274417492190295,11.085
1011,reward,1,Hopper-v4,6.193799553408313,10.543
1048,reward,1,Hopper-v4,53.12433417765119,14.035
1057,reward,1,Hopper-v4,6.425144756391301,13.501
1067,reward,1,Hopper-v4,7.3924753858760655,13.186
1083,reward,1,Hopper-v4,16.524674988367693,13.944
1102,reward,1,Hopper-v4,17.84822037655094,14.96
1114,reward,1,Hopper-v4,9.223425584520875,14.244
1123,reward,1,Hopper-v4,6.320708190773503,13.84
1144,reward,1,Hopper-v4,11.627067661360876,14.221
1179,reward,1,Hopper-v4,10.911350961685294,14.559
1207,reward,1,Hopper-v4,33.34456314398515,17.274
1218,reward,1,Hopper-v4,8.36419638275251,12.798
1242,reward,1,Hopper-v4,13.888209342974672,13.544
1256,reward,1,Hopper-v4,11.484075193257006,13.954
1267,reward,1,Hopper-v4,7.324883053083024,13.034
1297,reward,1,Hopper-v4,10.868295780795599,12.336
1311,reward,1,Hopper-v4,10.296620210595504,12.443
1335,reward,1,Hopper-v4,12.41629336676613,13.053
1353,reward,1,Hopper-v4,13.443605233962897,13.234
1368,reward,1,Hopper-v4,13.32254035692744,13.475
1406,reward,1,Hopper-v4,15.852302331489286,11.726
1417,reward,1,Hopper-v4,9.225864058814429,11.812
1432,reward,1,Hopper-v4,14.394377395692928,11.863
1448,reward,1,Hopper-v4,16.491589759678075,12.364
1469,reward,1,Hopper-v4,12.669541231432108,12.898
1483,reward,1,Hopper-v4,10.844461323600688,12.896
1494,reward,1,Hopper-v4,8.051198038420894,12.671
1520,reward,1,Hopper-v4,26.277901681187554,14.057
1532,reward,1,Hopper-v4,6.232355615177557,13.336
1541,reward,1,Hopper-v4,6.491760839521507,12.653
1556,reward,1,Hopper-v4,14.416307043334891,12.51
1577,reward,1,Hopper-v4,21.215006070124442,13.708
1593,reward,1,Hopper-v4,14.650533127454688,13.734
1613,reward,1,Hopper-v4,11.331389460983786,13.218
1621,reward,1,Hopper-v4,6.155877175678669,12.567
1636,reward,1,Hopper-v4,9.566268656768175,12.439
1647,reward,1,Hopper-v4,7.5142154207247405,12.385
1688,reward,1,Hopper-v4,18.03585696188928,11.561
1701,reward,1,Hopper-v4,12.079255524544344,12.146
1713,reward,1,Hopper-v4,9.323351290713775,12.429
1753,reward,1,Hopper-v4,49.92604607952977,15.98
1795,reward,1,Hopper-v4,17.6042570147051,15.619
1815,reward,1,Hopper-v4,19.665427919255272,16.12
1825,reward,1,Hopper-v4,7.853836620747194,15.772
1842,reward,1,Hopper-v4,15.669062110859226,16.724
1854,reward,1,Hopper-v4,9.278677358686632,16.695
1865,reward,1,Hopper-v4,7.804971809028581,16.724
1877,reward,1,Hopper-v4,8.761629907831772,15.797
1900,reward,1,Hopper-v4,19.163518919545055,16.505
1914,reward,1,Hopper-v4,7.886716076533615,16.361
1923,reward,1,Hopper-v4,5.47870744339021,11.917
1943,reward,1,Hopper-v4,9.722039896931228,11.128
1963,reward,1,Hopper-v4,13.363372881766931,10.498
1979,reward,1,Hopper-v4,6.487007455776873,10.362
1994,reward,1,Hopper-v4,8.418490096141412,9.637
2012,reward,1,Hopper-v4,11.026692313505505,9.811
2057,reward,1,Hopper-v4,48.60488303210822,13.891
2070,reward,1,Hopper-v4,11.238338539646955,14.139
2081,reward,1,Hopper-v4,7.8204098479152115,13.005
2100,reward,1,Hopper-v4,16.01954666393657,13.818
2126,reward,1,Hopper-v4,20.103148686035308,15.28
2138,reward,1,Hopper-v4,11.16907142955638,15.425
2149,reward,1,Hopper-v4,8.847880501982997,14.974
2161,reward,1,Hopper-v4,9.694142702144077,15.294
2168,reward,1,Hopper-v4,4.764231851950913,14.929
2210,reward,1,Hopper-v4,38.37371570132413,17.664
2222,reward,1,Hopper-v4,6.602613923030344,13.463
2232,reward,1,Hopper-v4,7.351358043895084,13.075
2249,reward,1,Hopper-v4,17.275855705757017,14.02
